Policy ID,Policy Type,Scope,Target Type,Target Value,Category Name,Node Type,Status,Projects,Created By,Created At
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@mendable/n8n-nodes-firecrawl.firecrawl,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.embeddingsGoogleGemini,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.embeddingsGoogleVertex,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.googleGemini,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.googleGeminiTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.lmChatGoogleGemini,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.lmChatGoogleVertex,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,@n8n/n8n-nodes-langchain.toolSerpApi,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.gmail,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.gmailTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
