Component Name,Type,Path,Usage Count,File Types,Used By Files
"Modal","local","@/components/Modal.vue",44,"component","components/ActivationModal.vue; components/ActivationModal.vue; components/ApiKeyCreateOrEditModal.vue; components/ApiKeyCreateOrEditModal.vue; components/AskAssistant/Chat/NewAssistantSessionModal.vue; components/AskAssistant/Chat/NewAssistantSessionModal.vue; components/ChangePasswordModal.vue; components/ChangePasswordModal.vue; components/CommunityPackageInstallModal.vue; components/CommunityPackageInstallModal.vue; components/CommunityPackageManageConfirmModal.vue; components/CommunityPackageManageConfirmModal.vue; components/CommunityPlusEnrollmentModal.vue; components/CommunityPlusEnrollmentModal.vue; components/ContactPromptModal.vue; components/ContactPromptModal.vue; components/CredentialEdit/CredentialEdit.vue; components/CredentialEdit/CredentialEdit.vue; components/DebugPaywallModal.vue; components/DebugPaywallModal.vue; components/DeleteUserModal.vue; components/DeleteUserModal.vue; components/DuplicateWorkflowDialog.vue; components/DuplicateWorkflowDialog.vue; components/Folders/DeleteFolderModal.vue; components/Folders/DeleteFolderModal.vue; components/ImportCurlModal.vue; components/ImportCurlModal.vue; components/PersonalizationModal.vue; components/PersonalizationModal.vue; components/Projects/ProjectMoveResourceModal.vue; components/Projects/ProjectMoveResourceModal.vue; components/SettingsLogStreaming/EventDestinationSettingsModal.ee.vue; components/SettingsLogStreaming/EventDestinationSettingsModal.ee.vue; components/SetupWorkflowCredentialsModal/SetupWorkflowCredentialsModal.vue; components/SetupWorkflowCredentialsModal/SetupWorkflowCredentialsModal.vue; components/TagsManager/TagsManager.vue; components/TagsManager/TagsManager.vue; components/WorkflowActivationConflictingWebhookModal.vue; components/WorkflowActivationConflictingWebhookModal.vue; components/WorkflowHistory/WorkflowHistoryVersionRestoreModal.vue; components/WorkflowHistory/WorkflowHistoryVersionRestoreModal.vue; components/WorkflowSettings.vue; components/WorkflowSettings.vue"
"NodeIcon","local","@/components/NodeIcon.vue",28,"view; component","views/SetupWorkflowFromTemplateView/SetupTemplateFormStep.vue; views/SetupWorkflowFromTemplateView/SetupTemplateFormStep.vue; components/CanvasChat/future/components/LogDetailsPanel.vue; components/CanvasChat/future/components/LogDetailsPanel.vue; components/NDVFloatingNodes.vue; components/NDVFloatingNodes.vue; components/NDVSubConnections.vue; components/NDVSubConnections.vue; components/Node/NodeCreator/ItemTypes/ActionItem.vue; components/Node/NodeCreator/ItemTypes/ActionItem.vue; components/Node/NodeCreator/ItemTypes/NodeItem.vue; components/Node/NodeCreator/ItemTypes/NodeItem.vue; components/Node/NodeCreator/Panel/NodesListPanel.vue; components/Node/NodeCreator/Panel/NodesListPanel.vue; components/NodeList.vue; components/NodeList.vue; components/NodeTitle.vue; components/NodeTitle.vue; components/RunDataAi/RunDataAi.vue; components/RunDataAi/RunDataAi.vue; components/RunDataAi/RunDataAiContent.vue; components/RunDataAi/RunDataAiContent.vue; components/TemplateDetails.vue; components/TemplateDetails.vue; components/TriggerPanel.vue; components/TriggerPanel.vue; components/VirtualSchemaHeader.vue; components/VirtualSchemaHeader.vue"
"KeyboardShortcutTooltip","local","@/components/KeyboardShortcutTooltip.vue",16,"view; component","views/NodeView.vue; views/NodeView.vue; components/CanvasChat/future/components/LogDetailsPanel.vue; components/CanvasChat/future/components/LogDetailsPanel.vue; components/CanvasChat/future/components/LogsPanelActions.vue; components/CanvasChat/future/components/LogsPanelActions.vue; components/Node/NodeCreation.vue; components/Node/NodeCreation.vue; components/SaveButton.vue; components/SaveButton.vue; components/canvas/elements/buttons/CanvasControlButtons.vue; components/canvas/elements/buttons/CanvasControlButtons.vue; components/canvas/elements/buttons/CanvasRunWorkflowButton.vue; components/canvas/elements/buttons/CanvasRunWorkflowButton.vue; components/canvas/elements/nodes/render-types/parts/CanvasNodeTrigger.vue; components/canvas/elements/nodes/render-types/parts/CanvasNodeTrigger.vue"
"ParameterInputFull","local","@/components/ParameterInputFull.vue",12,"component","components/AssignmentCollection/Assignment.vue; components/AssignmentCollection/Assignment.vue; components/CredentialEdit/AuthTypeSelector.vue; components/CredentialEdit/AuthTypeSelector.vue; components/FilterConditions/Condition.vue; components/FilterConditions/Condition.vue; components/MultipleParameter.vue; components/MultipleParameter.vue; components/ParameterInputList.vue; components/ParameterInputList.vue; components/ResourceMapper/MappingFields.vue; components/ResourceMapper/MappingFields.vue"
"ProjectSharing","local","@/components/Projects/ProjectSharing.vue",12,"component","components/CredentialEdit/CredentialSharing.ee.vue; components/CredentialEdit/CredentialSharing.ee.vue; components/DeleteUserModal.vue; components/DeleteUserModal.vue; components/Projects/ProjectDeleteDialog.vue; components/Projects/ProjectDeleteDialog.vue; components/Projects/ProjectSharing.test.ts; components/Projects/ProjectSharing.test.ts; components/WorkflowShareModal.ee.vue; components/WorkflowShareModal.ee.vue; components/forms/ResourceFiltersDropdown.vue; components/forms/ResourceFiltersDropdown.vue"
"AuthView","local","@/views/AuthView.vue",10,"view","views/AuthView.test.ts; views/AuthView.test.ts; views/ChangePasswordView.vue; views/ChangePasswordView.vue; views/SamlOnboarding.vue; views/SamlOnboarding.vue; views/SetupView.vue; views/SetupView.vue; views/SignupView.vue; views/SignupView.vue"
"ProjectHeader","local","@/components/Projects/ProjectHeader.vue",10,"view; component","views/CredentialsView.vue; views/CredentialsView.vue; views/ExecutionsView.vue; views/ExecutionsView.vue; views/ProjectSettings.vue; views/ProjectSettings.vue; views/WorkflowsView.vue; views/WorkflowsView.vue; components/Projects/ProjectHeader.test.ts; components/Projects/ProjectHeader.test.ts"
"Draggable","local","@/components/Draggable.vue",10,"view; component","views/WorkflowsView.vue; views/WorkflowsView.vue; components/PanelDragButton.vue; components/PanelDragButton.vue; components/RunDataJson.vue; components/RunDataJson.vue; components/RunDataTable.vue; components/RunDataTable.vue; components/VirtualSchema.vue; components/VirtualSchema.vue"
"ParameterIssues","local","@/components/ParameterIssues.vue",10,"component","components/AssignmentCollection/Assignment.vue; components/AssignmentCollection/Assignment.vue; components/FilterConditions/Condition.vue; components/FilterConditions/Condition.vue; components/ParameterInput.vue; components/ParameterInput.vue; components/ResourceLocator/ResourceLocator.vue; components/ResourceLocator/ResourceLocator.vue; components/WorkflowSelectorParameterInput/WorkflowSelectorParameterInput.vue; components/WorkflowSelectorParameterInput/WorkflowSelectorParameterInput.vue"
"BaseBanner","local","@/components/banners/BaseBanner.vue",10,"component","components/banners/EmailConfirmationBanner.vue; components/banners/EmailConfirmationBanner.vue; components/banners/NonProductionLicenseBanner.vue; components/banners/NonProductionLicenseBanner.vue; components/banners/TrialBanner.vue; components/banners/TrialBanner.vue; components/banners/TrialOverBanner.vue; components/banners/TrialOverBanner.vue; components/banners/V1Banner.vue; components/banners/V1Banner.vue"
